tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Computer Science,1270,University of Maryland,Daniel,,Abadi,2361198,1,poor,TEACHER,PROFESSOR,1.0
Foreign Languages,1270,University of Maryland,Ali,,Abasi,972417,7,poor,TEACHER,PROFESSOR,2.4
Physics,1270,University of Maryland,Kevork,,Abazajian,1556681,3,good,TEACHER,PROFESSOR,5.0
Languages,1270,University of Maryland,Ali,,Abbasi,1400739,1,good,TEACHER,PROFESSOR,5.0
Economics,1270,University of Maryland,Hossein,,Abbasi,2205764,63,average,TEACHER,PROFESSOR,2.7
American Studies,1270,University of Maryland,Hazim,,Abdullah-Smith,2356461,3,average,TEACHER,PROFESSOR,2.7
Engineering,1270,University of Maryland,Eyad,,Abed,2167568,0,zero,TEACHER,PROFESSOR,N/A
Business,1270,University of Maryland,Jonathan,,Aberman,2379082,3,good,TEACHER,PROFESSOR,5.0
Economics,1270,University of Maryland,Salem,,Abo Zaid,1154778,4,good,TEACHER,PROFESSOR,3.8
Communication,1270,University of Maryland,Divine,,Aboagye,2662790,2,good,TEACHER,PROFESSOR,5.0
Architecture,1270,University of Maryland,Michael,,Abrams,2104690,2,average,TEACHER,PROFESSOR,3.0
Economics,1270,University of Maryland,Ana,,Abras,1011151,6,average,TEACHER,PROFESSOR,3.2
Engineering,1270,University of Maryland,Pamela,,Abshire,999289,6,average,TEACHER,PROFESSOR,3.3
History,1270,University of Maryland,Christiane,Marie,Abu Sarah,2014789,0,zero,TEACHER,PROFESSOR,N/A
American Studies,1270,University of Maryland,Ilyas,,Abukar,1791982,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1270,University of Maryland,Christopher,,Ackermann,1869561,2,average,TEACHER,PROFESSOR,2.8
Philosophy,1270,University of Maryland,Heather,,Adair,2312270,7,good,TEACHER,PROFESSOR,3.7
Mathematics,1270,University of Maryland,Jeffrey,,Adams,331301,19,average,TEACHER,PROFESSOR,3.4
Science,1270,University of Maryland,Lowell,,Adams,746593,2,good,TEACHER,PROFESSOR,4.5
English,1270,University of Maryland,Taylor,,Adams,1722895,5,good,TEACHER,PROFESSOR,4.4
Chemistry,1270,University of Maryland,Eric,,Adams,2332476,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Danielle,,Adams,2410516,6,good,TEACHER,PROFESSOR,3.8
American Studies,1270,University of Maryland,Brienne,,Adams,2458008,0,zero,TEACHER,PROFESSOR,N/A
Geography,1270,University of Maryland,Joy,,Adams,2630104,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,1270,University of Maryland,Christiana,,Addei-Maanu,2097333,36,poor,TEACHER,PROFESSOR,1.8
History,1270,University of Maryland,Sarah,,Adelman,1520831,1,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Ibrahim,,Ades,875789,26,good,TEACHER,PROFESSOR,3.8
Information Science,1270,University of Maryland,Morgan,,Adle,2482155,1,good,TEACHER,PROFESSOR,5.0
Ethnic Studies,1270,University of Maryland,Eliyana,,Adler,1071219,3,good,TEACHER,PROFESSOR,4.7
Classics,1270,University of Maryland,Eric,,Adler,2057656,3,good,TEACHER,PROFESSOR,4.7
Biology,1270,University of Maryland,Vivek,,Advani,2262822,1,good,TEACHER,PROFESSOR,4.0
Mathematics,1270,University of Maryland,Rahmati,,Afrooz,2400430,3,average,TEACHER,PROFESSOR,3.0
English,1270,University of Maryland,Aqdas,,Aftab,2359899,5,good,TEACHER,PROFESSOR,4.2
Business,1270,University of Maryland,Ritu,,Agarwal,1943119,0,zero,TEACHER,PROFESSOR,N/A
Physics,1270,University of Maryland,Kaustubh,,Agashe,2348765,3,poor,TEACHER,PROFESSOR,2.0
Communication,1270,University of Maryland,Delight,,Agboada,2699998,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1270,University of Maryland,Sherif M.,,Aggour,350154,6,good,TEACHER,PROFESSOR,4.4
Communication,1270,University of Maryland,Sarah,,Aghazadeh,2381097,2,good,TEACHER,PROFESSOR,4.0
Finance,1270,University of Maryland,Tawny,,Agiurre,1025718,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1270,University of Maryland,Ashok,,Agrawala,2110505,2,good,TEACHER,PROFESSOR,4.5
Writing,1270,University of Maryland,Chetachukwu,,Agwoeme,2570020,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Nahid,,Ahmadian,2497333,0,zero,TEACHER,PROFESSOR,N/A
Information Science,1270,University of Maryland,Wei,,Ai,2779670,1,good,TEACHER,PROFESSOR,5.0
Humanities,1270,University of Maryland,Ed-love,Lesley,Aidoo,2783098,1,good,TEACHER,PROFESSOR,5.0
Computer Science,1270,University of Maryland,Sami,,Ainane,2633835,1,poor,TEACHER,PROFESSOR,1.0
Languages,1270,University of Maryland,Nahal,,Akbari,1400738,4,good,TEACHER,PROFESSOR,4.5
Languages,1270,University of Maryland,Kumiko,,Akikawa,2226343,2,good,TEACHER,PROFESSOR,5.0
Aerospace Studies,1270,University of Maryland,Dave,,Akin,1698816,3,poor,TEACHER,PROFESSOR,2.3
Architecture,1270,University of Maryland,Olumide,,Akinsade,2691760,1,average,TEACHER,PROFESSOR,3.0
Agriculture,1270,University of Maryland,Anna,,Alberini,2128256,2,poor,TEACHER,PROFESSOR,1.0
Economics,1270,University of Maryland,Anna,,Alberini,2788375,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1270,University of Maryland,Scott,,Albrecht,1516463,3,average,TEACHER,PROFESSOR,2.8
Physical Sciences,1270,University of Maryland,Millard,,Alexander,1365268,4,poor,TEACHER,PROFESSOR,2.4
Human Development,1270,University of Maryland,Patricia,,Alexander,1606838,7,good,TEACHER,PROFESSOR,4.8
Mathematics,1270,University of Maryland,Brandon,,Alexander,2547923,3,good,TEACHER,PROFESSOR,4.7
Political Science,1270,University of Maryland,Fred,,Alford,623196,9,good,TEACHER,PROFESSOR,3.7
History,1270,University of Maryland,Ibraham,,Ali,754941,12,good,TEACHER,PROFESSOR,3.6
American Studies,1270,University of Maryland,Asim,,Ali,2225229,4,good,TEACHER,PROFESSOR,4.3
Foreign Languages,1270,University of Maryland,Samah,,Ali Al-Salami,2498613,1,good,TEACHER,PROFESSOR,5.0
Philosophy,1270,University of Maryland,Alexey,,Aliev,2236414,0,zero,TEACHER,PROFESSOR,N/A
Latin American Studies,1270,University of Maryland,Keisha,,Allan,2722455,0,zero,TEACHER,PROFESSOR,N/A
Government,1270,University of Maryland,Todd,,Allee,2226333,11,average,TEACHER,PROFESSOR,2.6
Family Studies,1270,University of Maryland,Sam,,Allen,2284491,1,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Ty,,Allen,2571041,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Stephanie,,Allen,2204217,9,good,TEACHER,PROFESSOR,3.6
English,1270,University of Maryland,Amanda,,Allen,2196590,17,good,TEACHER,PROFESSOR,4.3
English,1270,University of Maryland,Robin,,Allen-Klein,2142010,2,good,TEACHER,PROFESSOR,5.0
Computer Science,1270,University of Maryland,Yiannis,,Aloimonos,2456965,1,poor,TEACHER,PROFESSOR,1.0
Human Development,1270,University of Maryland,Angelica,,Alonso,2839113,1,poor,TEACHER,PROFESSOR,2.0
Communication,1270,University of Maryland,Rebecca,,Alt,1910424,7,good,TEACHER,PROFESSOR,4.5
Art History,1270,University of Maryland,Katie,,Altizer,2746199,1,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Kathryn,,Alvestad,994240,10,poor,TEACHER,PROFESSOR,2.0
Journalism,1270,University of Maryland,Edward,,Alwood,2215156,10,good,TEACHER,PROFESSOR,4.6
Architecture,1270,University of Maryland,Michael,,Ambrose,2167808,3,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,Amde,,Amde,1177219,2,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Jo-Ann,,Amdeo,1252722,4,good,TEACHER,PROFESSOR,4.9
Computer Science,1270,University of Maryland,Hadi,,Amiri,2124732,0,zero,TEACHER,PROFESSOR,N/A
Chemistry,1270,University of Maryland,.,,Ammon,486411,20,average,TEACHER,PROFESSOR,3.2
Chemistry,1270,University of Maryland,Hermanl.,,Ammon.,1644384,2,poor,TEACHER,PROFESSOR,1.8
Languages,1270,University of Maryland,Stefania,,Amodeo,483097,6,average,TEACHER,PROFESSOR,2.7
Communication,1270,University of Maryland,Deepa,,Anagondahalli,1157784,11,average,TEACHER,PROFESSOR,3.0
Geography,1270,University of Maryland,Anupam,,Anand,1691836,10,good,TEACHER,PROFESSOR,4.4
Business,1270,University of Maryland,Tejesh,,Anand,2690807,0,zero,TEACHER,PROFESSOR,N/A
Business,1270,University of Maryland,G. Anand,,Anandalingam,959945,2,poor,TEACHER,PROFESSOR,1.8
Chemistry,1270,University of Maryland,Alan,,Anderson,1645430,19,average,TEACHER,PROFESSOR,3.5
Latin American Studies,1270,University of Maryland,Britta,,Anderson,2219981,7,good,TEACHER,PROFESSOR,4.1
Geography,1270,University of Maryland,Kelly,,Anderson,2373772,1,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,Natasha,,Andrade,2324086,12,good,TEACHER,PROFESSOR,3.7
Mathematics,1270,University of Maryland,Roman,,Andreev,1814160,7,average,TEACHER,PROFESSOR,3.4
Sociology,1270,University of Maryland,Chris,,Andrews,728524,14,good,TEACHER,PROFESSOR,4.6
Kinesiology,1270,University of Maryland,David,,Andrews,994500,26,good,TEACHER,PROFESSOR,4.1
Biology,1270,University of Maryland,Norma,W,Andrews,2716425,1,good,TEACHER,PROFESSOR,4.0
Sociology,1270,University of Maryland,Lester,,Andrist,1302551,25,good,TEACHER,PROFESSOR,3.5
Business,1270,University of Maryland,T Leigh,,Anenson,2690811,1,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Joseph,Ross,Angelella,2014696,6,good,TEACHER,PROFESSOR,4.7
English,1270,University of Maryland,Karen,,Angeline,2327381,5,poor,TEACHER,PROFESSOR,2.0
Music,1270,University of Maryland,Michael,,Angelucci,2220023,0,zero,TEACHER,PROFESSOR,N/A
Foreign Languages,1270,University of Maryland,Valerie,,Anishchenkova,1989314,3,good,TEACHER,PROFESSOR,3.5
Physics,1270,University of Maryland,Steven,,Anlage,2541631,1,good,TEACHER,PROFESSOR,4.0
Speech & Hearing Sciences,1270,University of Maryland,Margaret,,Antonisse,943496,17,good,TEACHER,PROFESSOR,4.2
Physics,1270,University of Maryland,Thomas,,Antonsen,1447689,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1270,University of Maryland,Graham,,Antoszewski,2122436,1,good,TEACHER,PROFESSOR,4.5
Information Science,1270,University of Maryland,Christopher,,Antoun,2326465,8,good,TEACHER,PROFESSOR,4.1
Honors,1270,University of Maryland,Zabrina,,Anzyl,2385270,3,average,TEACHER,PROFESSOR,2.7
Health Science,1270,University of Maryland,Elizabeth,,Aparicio,2448263,1,average,TEACHER,PROFESSOR,3.0
Physics,1270,University of Maryland,Ian,,Appelbaum,2403277,2,poor,TEACHER,PROFESSOR,2.0
Animal Science,1270,University of Maryland,Charlie,,Apter,2292133,8,good,TEACHER,PROFESSOR,3.5
Communication,1270,University of Maryland,Ashley,,Aragon,2521881,6,good,TEACHER,PROFESSOR,4.7
Bioengineering,1270,University of Maryland,Jose,Helim,Aranda-Espinoza,2282960,4,average,TEACHER,PROFESSOR,3.0
Bioengineering,1270,University of Maryland,Helim,,Aranda-Espinoza,1318745,8,poor,TEACHER,PROFESSOR,1.4
